epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.914,1.20476,2.26431,2.83343,1.17138,0.01984,0.66551,0.54613,0.38565,0.02098,0.66967,0.55635,0.41018,1.03866,1.63268,2.83946,1.01421,0.00046641,0.00046641,0.00046641
2,41.9484,1.03746,1.54723,1.58499,1.03462,0.90835,0.42935,0.57864,0.42971,0.91146,0.4304,0.57848,0.41306,1.02016,1.89468,2.1483,1.03204,0.000936521,0.000936521,0.000936521
3,58.7406,1.01399,1.47524,1.35966,1.04139,0.98505,0.44487,0.74631,0.4994,0.9774,0.44174,0.63718,0.40903,1.05125,2.12037,1.90563,1.11686,0.00140034,0.00140034,0.00140034
4,75.5626,1.01271,1.48422,1.263,1.04238,0.79773,0.69037,0.78838,0.56199,0.69601,0.64015,0.67149,0.48004,0.98105,1.66011,1.09274,1.06428,0.00140071,0.00140071,0.00140071
5,92.0447,0.96946,1.41379,1.141,1.03064,0.9608,0.60382,0.82082,0.5673,0.96004,0.5965,0.71596,0.51303,0.94299,1.42108,1.01448,1.02954,0.00139127,0.00139127,0.00139127
6,108.663,0.94456,1.33921,1.03314,1.02578,0.71273,0.78937,0.82584,0.57367,0.64657,0.73885,0.7152,0.49309,0.91571,1.38416,1.01204,1.04086,0.00138184,0.00138184,0.00138184
7,125.158,0.93786,1.38397,0.96964,1.02658,0.77872,0.7877,0.86544,0.62482,0.80205,0.72272,0.79689,0.5328,0.85312,1.4016,0.7879,1.01427,0.00137241,0.00137241,0.00137241
8,141.858,0.91462,1.31919,0.88602,1.0149,0.85836,0.79689,0.84876,0.60245,0.76439,0.74927,0.77095,0.54046,0.86376,1.27243,0.74892,0.99261,0.00136298,0.00136298,0.00136298
9,158.301,0.88704,1.28712,0.84412,1.00506,0.83289,0.79969,0.84114,0.56729,0.82321,0.7717,0.79807,0.5165,0.92384,1.34158,0.77546,1.03956,0.00135355,0.00135355,0.00135355
10,174.869,0.87163,1.26846,0.8428,0.99811,0.8037,0.76451,0.8771,0.63659,0.76699,0.73746,0.81206,0.54967,0.85434,1.34098,1.02794,1.00878,0.00134412,0.00134412,0.00134412
11,191.151,0.85787,1.252,0.78016,0.99438,0.97563,0.8267,0.92274,0.65945,0.9266,0.81963,0.89877,0.58199,0.84892,1.21998,0.75333,1.01782,0.00133469,0.00133469,0.00133469
12,207.529,0.82901,1.23029,0.74759,0.987,0.90977,0.88243,0.93979,0.69631,0.85055,0.86883,0.89342,0.60978,0.82001,1.16929,0.62418,0.99498,0.00132525,0.00132525,0.00132525
13,223.835,0.85463,1.23132,0.72179,0.98485,0.91225,0.74123,0.84462,0.59562,0.88453,0.72431,0.81255,0.51421,0.90056,1.55185,1.25287,1.02984,0.00131582,0.00131582,0.00131582
14,240.065,0.85259,1.22517,0.72103,0.99374,0.90301,0.88397,0.93577,0.68264,0.88675,0.88037,0.91044,0.60807,0.81749,1.19866,0.6383,0.97759,0.00130639,0.00130639,0.00130639
15,256.371,0.82249,1.19713,0.68945,0.9828,0.90801,0.83652,0.92481,0.66709,0.87134,0.78316,0.83678,0.57106,0.79578,1.17437,0.76115,0.96946,0.00129696,0.00129696,0.00129696
